// Compost colors for immersivegeology. You may add your own colors, change existing ones, or remove colors that aren't needed.
blueprint_multiblock_plans, #d7c9b1
bucket_aluminum_fluid, #ffffff
bucket_bronze_fluid, #ffffff
bucket_calcium_fluid, #ffffff
bucket_chromium_fluid, #ffffff
bucket_cobalt_fluid, #ffffff
bucket_copper_fluid, #ffffff
bucket_gold_fluid, #ffffff
bucket_hastelloy_fluid, #ffffff
bucket_iron_fluid, #ffffff
bucket_lead_fluid, #ffffff
bucket_magnesium_fluid, #ffffff
bucket_manganese_fluid, #ffffff
bucket_moltenmantle_fluid, #ffffff
bucket_molybdenum_fluid, #ffffff
bucket_neodymium_fluid, #ffffff
bucket_nickel_fluid, #ffffff
bucket_osmium_fluid, #ffffff
bucket_platinum_fluid, #ffffff
bucket_silver_fluid, #ffffff
bucket_sodium_fluid, #ffffff
bucket_stainlesssteel_fluid, #ffffff
bucket_steel_fluid, #ffffff
bucket_thorium_fluid, #ffffff
bucket_tin_fluid, #ffffff
bucket_titanium_fluid, #ffffff
bucket_tungsten_fluid, #ffffff
bucket_tungstencarbide_fluid, #ffffff
bucket_unobtanium_fluid, #ffffff
bucket_uranium_fluid, #ffffff
bucket_vanadium_fluid, #ffffff
bucket_zinc_fluid, #ffffff
bucket_zirconium_fluid, #ffffff
clean_flask_ammoniasolution_fluid, #ffffff
clean_flask_ammoniasolution_molybdenite, #ffffff
clean_flask_ammoniasolution_osmium, #ffffff
clean_flask_aquaregia_fluid, #ffffff
clean_flask_aquaregia_gold, #ffffff
clean_flask_aquaregia_platinum, #ffffff
clean_flask_bindingagent_fluid, #ffffff
clean_flask_brine_carnallite, #ffffff
clean_flask_brine_rocksalt, #ffffff
clean_flask_brine_saltpeter, #ffffff
clean_flask_chemicalwaste_fluid, #ffffff
clean_flask_hydrochloricacid_acanthite, #ffffff
clean_flask_hydrochloricacid_chromium, #ffffff
clean_flask_hydrochloricacid_cobalt, #ffffff
clean_flask_hydrochloricacid_copper, #ffffff
clean_flask_hydrochloricacid_fluid, #ffffff
clean_flask_hydrochloricacid_galena, #ffffff
clean_flask_hydrochloricacid_lead, #ffffff
clean_flask_hydrochloricacid_manganese, #ffffff
clean_flask_hydrochloricacid_neodymium, #ffffff
clean_flask_hydrochloricacid_nickel, #ffffff
clean_flask_hydrochloricacid_silver, #ffffff
clean_flask_hydrochloricacid_titanium, #ffffff
clean_flask_hydrochloricacid_tungsten, #ffffff
clean_flask_hydrochloricacid_uranium, #ffffff
clean_flask_hydrochloricacid_zinc, #ffffff
clean_flask_hydrofluoricacid_fluid, #ffffff
clean_flask_hydrofluoricacid_neodymium, #ffffff
clean_flask_hydrofluoricacid_uranium, #ffffff
clean_flask_nitricacid_chromium, #ffffff
clean_flask_nitricacid_cobalt, #ffffff
clean_flask_nitricacid_fluid, #ffffff
clean_flask_nitricacid_unobtanium, #ffffff
clean_flask_sodiumhydroxide_bauxite, #ffffff
clean_flask_sodiumhydroxide_fluid, #ffffff
clean_flask_sodiumhydroxide_unobtanium, #ffffff
clean_flask_sulfurdioxide_fluid, #ffffff
clean_flask_sulfuricacid_chromium, #ffffff
clean_flask_sulfuricacid_fluid, #ffffff
clean_flask_sulfuricacid_vanadinite, #ffffff
clean_flask_sulfuricacid_zinc, #ffffff
cloudy_flask_ammoniasolution_molybdenite, #ffffff
cloudy_flask_brine_carnallite, #ffffff
cloudy_flask_brine_rocksalt, #ffffff
cloudy_flask_brine_saltpeter, #ffffff
cloudy_flask_chemicalwaste_bauxite, #ffffff
cloudy_flask_chemicalwaste_molybdenite, #ffffff
cloudy_flask_hydrochloricacid_acanthite, #ffffff
cloudy_flask_hydrochloricacid_galena, #ffffff
cloudy_flask_sodiumhydroxide_bauxite, #ffffff
cloudy_flask_sulfuricacid_vanadinite, #ffffff
compound_dust_aluminum, #f0f0f0
compound_dust_bronze, #f0f0f0
compound_dust_calcium, #f0f0f0
compound_dust_chromium, #f0f0f0
compound_dust_cobalt, #f0f0f0
compound_dust_copper, #f0f0f0
compound_dust_gold, #f0f0f0
compound_dust_hastelloy, #f0f0f0
compound_dust_iron, #f0f0f0
compound_dust_lead, #f0f0f0
compound_dust_magnesium, #f0f0f0
compound_dust_manganese, #f0f0f0
compound_dust_molybdenum, #f0f0f0
compound_dust_neodymium, #f0f0f0
compound_dust_nickel, #f0f0f0
compound_dust_osmium, #f0f0f0
compound_dust_platinum, #f0f0f0
compound_dust_silver, #f0f0f0
compound_dust_sodium, #f0f0f0
